Column1	title	year	rating	metascore	gross	hyperlink	country	Column2	budget	awards	award wins	award nominations	duration	rating-metascore	revenue	genre1	genre2	genre3
81	Scarface	1983	83	65	45600000	https://www.imdb.com/title/tt0086250/?ref_=adv_li_i	USA		25000000	Nominated for 3 Golden Globes.	0	3	2h 50min	18.00	20600000.00	Crime	 Drama	
264	A Christmas Story	1983	80	77	19290000	https://www.imdb.com/title/tt0085334/?ref_=adv_li_i	USA		3300000	3 wins & 11 nominations.	3	11	1h 34min	3.00	15990000.00	Comedy	 Family	
454	Ghostbusters	1984	78	71	238630000	https://www.imdb.com/title/tt0087332/?ref_=adv_li_i	USA		30000000	Nominated for 2 Oscars.	0	2	1h 45min	7.00	208630000.00	Action	 Comedy	 Fantasy
80	Amadeus	1984	83	93	51970000	https://www.imdb.com/title/tt0086879/?ref_=adv_li_i	USA		18000000	Won 8 Oscars.	8	0	2h 40min	10.00	33970000.00	Biography	 Drama	 History
658	Blood Simple	1984	76	81	2150000	https://www.imdb.com/title/tt0086979/?ref_=adv_li_i	USA		1500000	5 wins & 6 nominations.	5	6	1h 39min	5.00	650000.00	Crime	 Drama	 Thriller
657	Stranger Than Paradise	1984	76	86	2440000	https://www.imdb.com/title/tt0088184/?ref_=adv_li_i	USA		90000	8 wins & 2 nominations.	8	2	1h 29min	10.00	2350000.00	Comedy	 Drama	
262	This Is Spinal Tap	1984	80	91	190000	https://www.imdb.com/title/tt0088258/?ref_=adv_li_i	USA		2500000	2 wins & 2 nominations.	2	2	1h 22min	11.00	-2310000.00	Comedy	 Music	
263	The Terminator	1984	80	84	38400000	https://www.imdb.com/title/tt0088247/?ref_=adv_li_i	UK		6400000	6 wins & 6 nominations.	6	6	1h 47min	4.00	32000000.00	Action	 Sci-Fi	
188	"Paris, Texas"	1984	81	78	2180000	https://www.imdb.com/title/tt0087884/?ref_=adv_li_i	West Germany		1506921.02	Nominated for 1 Golden Globe.	0	1	2h 25min	3.00	673078.98	Drama		
556	After Hours	1985	77	90	10600000	https://www.imdb.com/title/tt0088680/?ref_=adv_li_i	USA		4500000	Nominated for 1 Golden Globe.	0	1	1h 37min	13.00	6100000.00	Comedy	 Crime	 Drama
555	The Purple Rose of Cairo	1985	77	75	10630000	https://www.imdb.com/title/tt0089853/?ref_=adv_li_i	USA		15000000	Nominated for 1 Oscar.	0	1	1h 22min	2.00	-4370000.00	Comedy	 Fantasy	 Romance
41	Back to the Future	1985	85	87	210610000	https://www.imdb.com/title/tt0088763/?ref_=adv_li_i	USA		19000000	Won 1 Oscar.	1	0	1h 56min	2.00	191610000.00	Adventure	 Comedy	 Sci-Fi
117	Ran	1985	82	96	3520000	https://www.imdb.com/title/tt0089881/?ref_=adv_li_i	Japan		11500000	Won 1 Oscar.	1	0	2h 42min	14.00	-7980000.00	Action	 Drama	
348	The Breakfast Club	1985	79	62	45880000	https://www.imdb.com/title/tt0088847/?ref_=adv_li_i	USA		1000000	2 wins.	2	0	1h 37min	17.00	44880000.00	Comedy	 Drama	
261	Brazil	1985	80	88	9930000	https://www.imdb.com/title/tt0088846/?ref_=adv_li_i	UK		15000000	Nominated for 2 Oscars.	0	2	2h 12min	8.00	-5070000.00	Drama	 Sci-Fi	
453	The Color Purple	1985	78	78	98470000	https://www.imdb.com/title/tt0088939/?ref_=adv_li_i	USA		15000000	Nominated for 11 Oscars.	0	11	2h 34min	0.00	83470000.00	Drama		
451	Down by Law	1986	78	75	1440000	https://www.imdb.com/title/tt0090967/?ref_=adv_li_i	USA		1100000	4 wins & 6 nominations.	4	6	1h 47min	3.00	340000.00	Comedy	 Crime	 Drama
61	Aliens	1986	84	84	85160000	https://www.imdb.com/title/tt0090605/?ref_=adv_li_i	USA		18500000	Won 2 Oscars.	2	0	2h 17min	0.00	66660000.00	Action	 Adventure	 Sci-Fi
676	The Fly	1986	75	79	40460000	https://www.imdb.com/title/tt0091064/?ref_=adv_li_i	USA		15000000	Won 1 Oscar.	1	0	1h 36min	4.00	25460000.00	Drama	 Horror	 Sci-Fi
452	Blue Velvet	1986	78	76	8550000	https://www.imdb.com/title/tt0090756/?ref_=adv_li_i	USA		6000000	Nominated for 1 Oscar.	0	1	2h	2.00	2550000.00	Drama	 Mystery	 Thriller
186	Stand by Me	1986	81	75	52290000	https://www.imdb.com/title/tt0092005/?ref_=adv_li_i	USA		8000000	Nominated for 1 Oscar.	0	1	1h 29min	6.00	44290000.00	Adventure	 Drama	
347	Hannah and Her Sisters	1986	79	90	40080000	https://www.imdb.com/title/tt0091167/?ref_=adv_li_i	USA		6400000	Won 3 Oscars.	3	0	1h 47min	11.00	33680000.00	Comedy	 Drama	
187	Platoon	1986	81	92	138530000	https://www.imdb.com/title/tt0091763/?ref_=adv_li_i	USA		6000000	Won 4 Oscars.	4	0	2h	11.00	132530000.00	Drama	 War	
450	Ferris Bueller's Day Off	1986	78	61	70140000	https://www.imdb.com/title/tt0091042/?ref_=adv_li_i	USA		6000000	Nominated for 1 Golden Globe.	0	1	1h 43min	17.00	64140000.00	Comedy		
184	The Princess Bride	1987	81	77	30860000	https://www.imdb.com/title/tt0093779/?ref_=adv_li_i	USA		16000000	Nominated for 1 Oscar.	0	1	1h 38min	4.00	14860000.00	Adventure	 Family	 Fantasy
447	The Last Emperor	1987	78	76	43980000	https://www.imdb.com/title/tt0093389/?ref_=adv_li_i	UK		29827180.25	Won 9 Oscars.	9	0	2h 43min	2.00	14152819.75	Biography	 Drama	 History
185	Wings of Desire	1987	81	79	3210000	https://www.imdb.com/title/tt0093191/?ref_=adv_li_i	West Germany		Unknown	Nominated for 1 BAFTA Film Award.	0	1	2h 8min	2.00		Drama	 Fantasy	 Romance
654	RoboCop	1987	76	67	53420000	https://www.imdb.com/title/tt0093870/?ref_=adv_li_i	USA		13000000	Nominated for 2 Oscars.	0	2	1h 42min	9.00	40420000.00	Action	 Crime	 Sci-Fi
656	Lethal Weapon	1987	76	68	65209999	https://www.imdb.com/title/tt0093409/?ref_=adv_li_i	USA		15000000	Nominated for 1 Oscar.	0	1	1h 49min	8.00	50209999.00	Action	 Crime	 Thriller
346	The Untouchables	1987	79	79	76270000	https://www.imdb.com/title/tt0094226/?ref_=adv_li_i	USA		25000000	Won 1 Oscar.	1	0	1h 59min	0.00	51270000.00	Crime	 Drama	 Thriller
449	Empire of the Sun	1987	78	62	22240000	https://www.imdb.com/title/tt0092965/?ref_=adv_li_i	USA		35000000	Nominated for 6 Oscars.	0	6	2h 33min	16.00	-12760000.00	Drama	 History	 War
448	Evil Dead II	1987	78	69	5920000	https://www.imdb.com/title/tt0092991/?ref_=adv_li_i	USA		3600000	5 nominations.	0	5	1h 24min	9.00	2320000.00	Comedy	 Horror	
79	Full Metal Jacket	1987	83	76	46360000	https://www.imdb.com/title/tt0093058/?ref_=adv_li_i	UK		30000000	Nominated for 1 Oscar.	0	1	1h 56min	7.00	16360000.00	Drama	 War	
655	"Planes, Trains &amp; Automobiles"	1987	76	72	49530000	https://www.imdb.com/title/tt0093748/?ref_=adv_li_i	USA		30000000	1 nomination.	0	1	1h 33min	4.00	19530000.00	Comedy		
554	Who Framed Roger Rabbit	1988	77	83	156450000	https://www.imdb.com/title/tt0096438/?ref_=adv_li_i	USA		70000000	Won 3 Oscars.	3	0	1h 44min	6.00	86450000.00	Animation	 Adventure	 Comedy
650	Midnight Run	1988	76	78	38410000	https://www.imdb.com/title/tt0095631/?ref_=adv_li_i	USA		30000000	Nominated for 2 Golden Globes.	0	2	2h 6min	2.00	8410000.00	Action	 Comedy	 Crime
446	Mississippi Burning	1988	78	65	34600000	https://www.imdb.com/title/tt0095647/?ref_=adv_li_i	USA		15000000	Won 1 Oscar.	1	0	2h 8min	13.00	19600000.00	Crime	 Drama	 History
652	A Fish Called Wanda	1988	76	80	63490000	https://www.imdb.com/title/tt0095159/?ref_=adv_li_i	UK		7500000	Won 1 Oscar.	1	0	1h 48min	4.00	55990000.00	Comedy	 Crime	
649	The Naked Gun: From the Files of Police Squad!	1988	76	76	78040000	https://www.imdb.com/title/tt0095705/?ref_=adv_li_i	USA		12000000	1 nomination.	0	1	1h 25min	0.00	66040000.00	Comedy	 Crime	
653	Dangerous Liaisons	1988	76	74	34700000	https://www.imdb.com/title/tt0094947/?ref_=adv_li_i	USA		14000000	Won 3 Oscars.	3	0	1h 59min	2.00	20700000.00	Drama	 Romance	
116	Die Hard	1988	82	72	83010000	https://www.imdb.com/title/tt0095016/?ref_=adv_li_i	USA		28000000	Nominated for 4 Oscars.	0	4	2h 12min	10.00	55010000.00	Action	 Thriller	
40	Cinema Paradiso	1988	85	80	11990000	https://www.imdb.com/title/tt0095765/?ref_=adv_li_i	Italy		5000000	Won 1 Oscar.	1	0	2h 35min	5.00	6990000.00	Drama		
260	Rain Man	1988	80	65	172830000	https://www.imdb.com/title/tt0095953/?ref_=adv_li_i	USA		25000000	Won 4 Oscars.	4	0	2h 13min	15.00	147830000.00	Drama		
651	The Last Temptation of Christ	1988	76	80	7630000	https://www.imdb.com/title/tt0095497/?ref_=adv_li_i	Canada		7000000	Nominated for 1 Oscar.	0	1	2h 44min	4.00	630000.00	Drama		
647	Henry V	1989	76	83	10160000	https://www.imdb.com/title/tt0097499/?ref_=adv_li_i	UK		9000000	Won 1 Oscar.	1	0	2h 17min	7.00	1160000.00	Action	 Biography	 Drama
115	Indiana Jones and the Last Crusade	1989	82	65	197170000	https://www.imdb.com/title/tt0097576/?ref_=adv_li_i	USA		48000000	Won 1 Oscar.	1	0	2h 7min	17.00	149170000.00	Action	 Adventure	 Fantasy
646	The Little Mermaid	1989	76	88	111540000	https://www.imdb.com/title/tt0097757/?ref_=adv_li_i	USA		40000000	Won 2 Oscars.	2	0	1h 23min	12.00	71540000.00	Animation	 Family	 Fantasy
645	When Harry Met Sally...	1989	76	76	92820000	https://www.imdb.com/title/tt0098635/?ref_=adv_li_i	USA		16000000	Nominated for 1 Oscar.	0	1	1h 35min	0.00	76820000.00	Comedy	 Drama	 Romance
648	The Abyss	1989	76	62	54460000	https://www.imdb.com/title/tt0096754/?ref_=adv_li_i	USA		70000000	Won 1 Oscar.	1	0	2h 25min	14.00	-15540000.00	Adventure	 Drama	 Sci-Fi
675	Batman	1989	75	69	251190000	https://www.imdb.com/title/tt0096895/?ref_=adv_li_i	USA		35000000	Won 1 Oscar.	1	0	2h 6min	6.00	216190000.00	Action	 Adventure	
344	My Left Foot	1989	79	97	14740000	https://www.imdb.com/title/tt0097937/?ref_=adv_li_i	Ireland		778100.3543	Won 2 Oscars.	2	0	1h 43min	18.00	13961899.65	Biography	 Drama	
259	Crimes and Misdemeanors	1989	80	77	18250000	https://www.imdb.com/title/tt0097123/?ref_=adv_li_i	USA		19000000	Nominated for 3 Oscars.	0	3	1h 44min	3.00	-750000.00	Comedy	 Drama	
183	Dead Poets Society	1989	81	79	95860000	https://www.imdb.com/title/tt0097165/?ref_=adv_li_i	USA		16400000	Won 1 Oscar.	1	0	2h 8min	2.00	79460000.00	Comedy	 Drama	
345	Do the Right Thing	1989	79	91	27550000	https://www.imdb.com/title/tt0097216/?ref_=adv_li_i	USA		6500000	Nominated for 2 Oscars.	0	2	2h	12.00	21050000.00	Comedy	 Drama	
343	Edward Scissorhands	1990	79	74	56360000	https://www.imdb.com/title/tt0099487/?ref_=adv_li_i	USA		20000000	Nominated for 1 Oscar.	0	1	1h 45min	5.00	36360000.00	Drama	 Fantasy	 Romance
444	Miller's Crossing	1990	78	66	5080000	https://www.imdb.com/title/tt0100150/?ref_=adv_li_i	USA		14000000	4 wins & 15 nominations.	4	15	1h 55min	12.00	-8920000.00	Crime	 Drama	 Thriller
443	Misery	1990	78	75	61280000	https://www.imdb.com/title/tt0100157/?ref_=adv_li_i	USA		20000000	Won 1 Oscar.	1	0	1h 47min	3.00	41280000.00	Crime	 Drama	 Thriller
258	Dances with Wolves	1990	80	72	184210000	https://www.imdb.com/title/tt0099348/?ref_=adv_li_i	USA		22000000	Won 7 Oscars.	7	0	3h 1min	8.00	162210000.00	Adventure	 Drama	 Western
445	Awakenings	1990	78	74	52100000	https://www.imdb.com/title/tt0099077/?ref_=adv_li_i	USA		31000000	Nominated for 3 Oscars.	0	3	2h 1min	4.00	21100000.00	Biography	 Drama	
17	Goodfellas	1990	87	89	46840000	https://www.imdb.com/title/tt0099685/?ref_=adv_li_i	USA		25000000	Won 1 Oscar.	1	0	2h 26min	2.00	21840000.00	Crime	 Drama	
257	Beauty and the Beast	1991	80	95	218970000	https://www.imdb.com/title/tt0101414/?ref_=adv_li_i	USA		25000000	Won 2 Oscars.	2	0	1h 24min	15.00	193970000.00	Animation	 Family	 Fantasy
441	The Double Life of Véronique	1991	78	86	2000000	https://www.imdb.com/title/tt0101765/?ref_=adv_li_i	France		Unknown	Nominated for 1 Golden Globe.	0	1	1h 38min	8.00		Drama	 Fantasy	 Music
553	Barton Fink	1991	77	69	6150000	https://www.imdb.com/title/tt0101410/?ref_=adv_li_i	USA		9000000	Nominated for 3 Oscars.	0	3	1h 56min	8.00	-2850000.00	Comedy	 Drama	 Thriller
27	The Silence of the Lambs	1991	86	85	130740000	https://www.imdb.com/title/tt0102926/?ref_=adv_li_i	USA		19000000	Won 5 Oscars.	5	0	1h 58min	1.00	111740000.00	Crime	 Drama	 Thriller
256	JFK	1991	80	72	70410000	https://www.imdb.com/title/tt0102138/?ref_=adv_li_i	France		40000000	Won 2 Oscars.	2	0	3h 9min	8.00	30410000.00	Drama	 History	 Thriller
552	Delicatessen	1991	77	66	1790000	https://www.imdb.com/title/tt0101700/?ref_=adv_li_i	France		4142472	Nominated for 1 BAFTA Film Award.	0	1	1h 39min	11.00	-2352472.00	Comedy	 Crime	
440	Night on Earth	1991	78	68	2020000	https://www.imdb.com/title/tt0102536/?ref_=adv_li_i	France		3500000	1 win & 1 nomination.	1	1	2h 9min	10.00	-1480000.00	Comedy	 Drama	
442	Boyz n the Hood	1991	78	76	57500000	https://www.imdb.com/title/tt0101507/?ref_=adv_li_i	USA		6500000	Nominated for 2 Oscars.	0	2	1h 52min	2.00	51000000.00	Crime	 Drama	
39	Terminator 2: Judgment Day	1991	85	75	204840000	https://www.imdb.com/title/tt0103064/?ref_=adv_li_i	USA		102000000	Won 4 Oscars.	4	0	2h 17min	10.00	102840000.00	Action	 Sci-Fi	
551	Fried Green Tomatoes	1991	77	64	82420000	https://www.imdb.com/title/tt0101921/?ref_=adv_li_i	USA		11000000	Nominated for 2 Oscars.	0	2	2h 10min	13.00	71420000.00	Drama		
255	Aladdin	1992	80	86	217350000	https://www.imdb.com/title/tt0103639/?ref_=adv_li_i	USA		28000000	Won 2 Oscars.	2	0	1h 30min	6.00	189350000.00	Animation	 Adventure	 Comedy
438	The Last of the Mohicans	1992	78	76	75510000	https://www.imdb.com/title/tt0104691/?ref_=adv_li_i	USA		40000000	Won 1 Oscar.	1	0	1h 52min	2.00	35510000.00	Action	 Adventure	 Drama
644	The Player	1992	76	86	21710000	https://www.imdb.com/title/tt0105151/?ref_=adv_li_i	USA		8000000	Nominated for 3 Oscars.	0	3	2h 4min	10.00	13710000.00	Comedy	 Crime	 Drama
548	The Muppet Christmas Carol	1992	77	64	27280000	https://www.imdb.com/title/tt0104940/?ref_=adv_li_i	USA		12000000	1 win & 1 nomination.	1	1	1h 25min	13.00	15280000.00	Comedy	 Drama	 Family
549	Malcolm X	1992	77	72	48170000	https://www.imdb.com/title/tt0104797/?ref_=adv_li_i	USA		33000000	Nominated for 2 Oscars.	0	2	3h 22min	5.00	15170000.00	Biography	 Drama	 History
439	Glengarry Glen Ross	1992	78	80	10730000	https://www.imdb.com/title/tt0104348/?ref_=adv_li_i	USA		12500000	Nominated for 1 Oscar.	0	1	1h 40min	2.00	-1770000.00	Crime	 Drama	 Mystery
78	Reservoir Dogs	1992	83	79	2830000	https://www.imdb.com/title/tt0105236/?ref_=adv_li_i	USA		1200000	12 wins & 22 nominations.	12	22	1h 39min	4.00	1630000.00	Crime	 Drama	 Thriller
550	A Few Good Men	1992	77	62	141340000	https://www.imdb.com/title/tt0104257/?ref_=adv_li_i	USA		40000000	Nominated for 4 Oscars.	0	4	2h 18min	15.00	101340000.00	Drama	 Thriller	
114	Unforgiven	1992	82	85	101160000	https://www.imdb.com/title/tt0105695/?ref_=adv_li_i	USA		14400000	Won 4 Oscars.	4	0	2h 10min	3.00	86760000.00	Drama	 Western	
436	The Fugitive	1993	78	87	183880000	https://www.imdb.com/title/tt0106977/?ref_=adv_li_i	USA		44000000	Won 1 Oscar.	1	0	2h 10min	9.00	139880000.00	Action	 Crime	 Drama
253	The Nightmare Before Christmas	1993	80	82	75080000	https://www.imdb.com/title/tt0107688/?ref_=adv_li_i	USA		18000000	Nominated for 1 Oscar.	0	1	1h 16min	2.00	57080000.00	Animation	 Family	 Fantasy
6	Schindler's List	1993	89	93	96070000	https://www.imdb.com/title/tt0108052/?ref_=adv_li_i	USA		22000000	Won 7 Oscars.	7	0	3h 15min	4.00	74070000.00	Biography	 Drama	 History
252	Three Colors: Blue	1993	80	85	1320000	https://www.imdb.com/title/tt0108394/?ref_=adv_li_i	France		Unknown	Nominated for 3 Golden Globes.	0	3	1h 38min	5.00		Drama	 Music	 Mystery
437	A Bronx Tale	1993	78	80	17270000	https://www.imdb.com/title/tt0106489/?ref_=adv_li_i	USA		22000000	1 win & 3 nominations.	1	3	2h 1min	2.00	-4730000.00	Crime	 Drama	 Romance
254	Groundhog Day	1993	80	72	70910000	https://www.imdb.com/title/tt0107048/?ref_=adv_li_i	USA		14600000	Won 1 BAFTA Film Award.	1	0	1h 41min	8.00	56310000.00	Comedy	 Fantasy	 Romance
643	The Piano	1993	76	89	40160000	https://www.imdb.com/title/tt0107822/?ref_=adv_li_i	New Zealand		7000000	Won 3 Oscars.	3	0	2h 1min	13.00	33160000.00	Drama	 Music	 Romance
181	Jurassic Park	1993	81	68	402450000	https://www.imdb.com/title/tt0107290/?ref_=adv_li_i	USA		63000000	Won 3 Oscars.	3	0	2h 7min	13.00	339450000.00	Adventure	 Sci-Fi	 Thriller
182	In the Name of the Father	1993	81	84	25010000	https://www.imdb.com/title/tt0107207/?ref_=adv_li_i	Ireland		13000000	Nominated for 7 Oscars.	0	7	2h 13min	3.00	12010000.00	Biography	 Drama	
342	Naked	1993	79	84	1770000	https://www.imdb.com/title/tt0107653/?ref_=adv_li_i	UK		Unknown	8 wins & 7 nominations.	8	7	2h 12min	5.00		Comedy	 Drama	
545	Short Cuts	1993	77	79	6110000	https://www.imdb.com/title/tt0108122/?ref_=adv_li_i	USA		Unknown	Nominated for 1 Oscar.	0	1	3h 8min	2.00		Comedy	 Drama	
341	The Remains of the Day	1993	79	84	22950000	https://www.imdb.com/title/tt0107943/?ref_=adv_li_i	USA		15000000	Nominated for 8 Oscars.	0	8	2h 14min	5.00	7950000.00	Drama	 Romance	
547	Dazed and Confused	1993	77	78	7990000	https://www.imdb.com/title/tt0106677/?ref_=adv_li_i	USA		6900000	1 win & 4 nominations.	1	4	1h 42min	1.00	1090000.00	Comedy		
546	Philadelphia	1993	77	66	77320000	https://www.imdb.com/title/tt0107818/?ref_=adv_li_i	USA		26000000	Won 2 Oscars.	2	0	2h 5min	11.00	51320000.00	Drama		
435	What's Eating Gilbert Grape	1993	78	73	9170000	https://www.imdb.com/title/tt0108550/?ref_=adv_li_i	USA		11000000	Nominated for 1 Oscar.	0	1	1h 58min	5.00	-1830000.00	Drama		
38	The Lion King	1994	85	83	312900000	https://www.imdb.com/title/tt0110357/?ref_=adv_li_i	USA		45000000	Won 2 Oscars.	2	0	1h 28min	2.00	267900000.00	Animation	 Adventure	 Drama
340	Ed Wood	1994	79	70	5890000	https://www.imdb.com/title/tt0109707/?ref_=adv_li_i	USA		18000000	Won 2 Oscars.	2	0	2h 7min	9.00	-12110000.00	Biography	 Comedy	 Drama
544	Il Postino: The Postman	1994	77	81	21850000	https://www.imdb.com/title/tt0110877/?ref_=adv_li_i	Italy		3000000	Won 1 Oscar.	1	0	1h 48min	4.00	18850000.00	Biography	 Comedy	 Drama
180	Chungking Express	1994	81	77	600000	https://www.imdb.com/title/tt0109424/?ref_=adv_li_i	Hong Kong		Unknown	8 wins & 19 nominations.	8	19	1h 42min	4.00		Comedy	 Crime	 Drama
642	The Crow	1994	76	71	50690000	https://www.imdb.com/title/tt0109506/?ref_=adv_li_i	USA		23000000	3 wins & 6 nominations.	3	6	1h 42min	5.00	27690000.00	Action	 Drama	 Fantasy
543	Three Colors: White	1994	77	88	1460000	https://www.imdb.com/title/tt0111507/?ref_=adv_li_i	Switzerland		Unknown	1 win & 4 nominations.	1	4	1h 32min	11.00		Comedy	 Drama	 Romance
179	Three Colors: Red	1994	81	100	4040000	https://www.imdb.com/title/tt0111495/?ref_=adv_li_i	Switzerland		Unknown	Nominated for 3 Oscars.	0	3	1h 39min	19.00		Drama	 Mystery	 Romance
26	Léon: The Professional	1994	86	64	19500000	https://www.imdb.com/title/tt0110413/?ref_=adv_li_i	France		19848869	5 wins & 12 nominations.	5	12	1h 50min	22.00	-348869.00	Crime	 Drama	 Thriller
641	Drunken Master II	1994	76	74	11550000	https://www.imdb.com/title/tt0111512/?ref_=adv_li_i	Hong Kong		10000000	3 wins & 1 nomination.	3	1	1h 42min	2.00	1550000.00	Action	 Comedy	
5	Pulp Fiction	1994	89	94	107930000	https://www.imdb.com/title/tt0110912/?ref_=adv_li_i	USA		8000000	Won 1 Oscar.	1	0	2h 34min	5.00	99930000.00	Crime	 Drama	
12	Forrest Gump	1994	88	82	330250000	https://www.imdb.com/title/tt0109830/?ref_=adv_li_i	USA		55000000	Won 6 Oscars.	6	0	2h 22min	6.00	275250000.00	Drama	 Romance	
434	Clerks	1994	78	70	3150000	https://www.imdb.com/title/tt0109445/?ref_=adv_li_i	USA		27575	5 wins & 10 nominations.	5	10	1h 32min	8.00	3122425.00	Comedy		
0	The Shawshank Redemption	1994	93	80	28340000	https://www.imdb.com/title/tt0111161/?ref_=adv_li_i	USA		25000000	Nominated for 7 Oscars.	0	7	2h 22min	13.00	3340000.00	Drama		
77	Toy Story	1995	83	95	191800000	https://www.imdb.com/title/tt0114709/?ref_=adv_li_i	USA		30000000	Nominated for 3 Oscars.	0	3	1h 21min	12.00	161800000.00	Animation	 Adventure	 Comedy
251	Ghost in the Shell	1995	80	76	520000	https://www.imdb.com/title/tt0113568/?ref_=adv_li_i	Japan		5464879.184	5 wins & 2 nominations.	5	2	1h 23min	4.00	-4944879.18	Animation	 Action	 Crime
541	A Little Princess	1995	77	83	10020000	https://www.imdb.com/title/tt0113670/?ref_=adv_li_i	USA		17000000	Nominated for 2 Oscars.	0	2	1h 37min	6.00	-6980000.00	Drama	 Family	 Fantasy
640	Apollo 13	1995	76	77	173840000	https://www.imdb.com/title/tt0112384/?ref_=adv_li_i	USA		52000000	Won 2 Oscars.	2	0	2h 20min	1.00	121840000.00	Adventure	 Drama	 History
60	Braveheart	1995	84	68	75600000	https://www.imdb.com/title/tt0112573/?ref_=adv_li_i	USA		72000000	Won 5 Oscars.	5	0	2h 58min	16.00	3600000.00	Biography	 Drama	 History
25	Se7en	1995	86	65	100130000	https://www.imdb.com/title/tt0114369/?ref_=adv_li_i	USA		33000000	Nominated for 1 Oscar.	0	1	2h 7min	21.00	67130000.00	Crime	 Drama	 Mystery
112	Heat	1995	82	76	67440000	https://www.imdb.com/title/tt0113277/?ref_=adv_li_i	USA		60000000	13 nominations.	0	13	2h 50min	6.00	7440000.00	Crime	 Drama	 Thriller
24	The Usual Suspects	1995	86	77	23340000	https://www.imdb.com/title/tt0114814/?ref_=adv_li_i	USA		6000000	Won 2 Oscars.	2	0	1h 46min	9.00	17340000.00	Crime	 Mystery	 Thriller
250	Twelve Monkeys	1995	80	74	57140000	https://www.imdb.com/title/tt0114746/?ref_=adv_li_i	USA		29000001	Nominated for 2 Oscars.	0	2	2h 9min	6.00	28139999.00	Mystery	 Sci-Fi	 Thriller
542	Dead Man	1995	77	62	1040000	https://www.imdb.com/title/tt0112817/?ref_=adv_li_i	USA		9000000	5 wins & 13 nominations.	5	13	2h 1min	15.00	-7960000.00	Drama	 Fantasy	 Western
113	Casino	1995	82	73	42440000	https://www.imdb.com/title/tt0112641/?ref_=adv_li_i	USA		Unknown	Nominated for 1 Oscar.	0	1	2h 58min	9.00		Crime	 Drama	
178	Before Sunrise	1995	81	77	5540000	https://www.imdb.com/title/tt0112471/?ref_=adv_li_i	USA		2500000	1 win & 7 nominations.	1	7	1h 41min	4.00	3040000.00	Drama	 Romance	
540	Sense and Sensibility	1995	77	84	43180000	https://www.imdb.com/title/tt0114388/?ref_=adv_li_i	USA		16000000	Won 1 Oscar.	1	0	2h 16min	7.00	27180000.00	Drama	 Romance	
639	The City of Lost Children	1995	76	73	1510000	https://www.imdb.com/title/tt0112682/?ref_=adv_li_i	France		18000000	3 wins & 12 nominations.	3	12	1h 52min	3.00	-16490000.00	Fantasy	 Sci-Fi	
539	Shine	1996	77	87	35810000	https://www.imdb.com/title/tt0117631/?ref_=adv_li_i	Australia		5500000	Won 1 Oscar.	1	0	1h 45min	10.00	30310000.00	Biography	 Drama	 Music
177	Fargo	1996	81	85	24610000	https://www.imdb.com/title/tt0116282/?ref_=adv_li_i	USA		7000000	Won 2 Oscars.	2	0	1h 38min	4.00	17610000.00	Crime	 Drama	 Thriller
339	Breaking the Waves	1996	79	76	4040000	https://www.imdb.com/title/tt0115751/?ref_=adv_li_i	Denmark		Unknown	Nominated for 1 Oscar.	0	1	2h 39min	3.00		Drama		
249	Secrets &amp; Lies	1996	80	91	13420000	https://www.imdb.com/title/tt0117589/?ref_=adv_li_i	UK		4500000	Nominated for 5 Oscars.	0	5	2h 16min	11.00	8920000.00	Drama		
248	Sling Blade	1996	80	84	24480000	https://www.imdb.com/title/tt0117666/?ref_=adv_li_i	USA		890000	Won 1 Oscar.	1	0	2h 15min	4.00	23590000.00	Drama		
111	Trainspotting	1996	82	83	16500000	https://www.imdb.com/title/tt0117951/?ref_=adv_li_i	UK		3500000	Nominated for 1 Oscar.	0	1	1h 33min	1.00	13000000.00	Drama		
433	Donnie Brasco	1997	78	76	41910000	https://www.imdb.com/title/tt0119008/?ref_=adv_li_i	USA		35000000	Nominated for 1 Oscar.	0	1	2h 7min	2.00	6910000.00	Biography	 Crime	 Drama
59	Princess Mononoke	1997	84	76	2380000	https://www.imdb.com/title/tt0119698/?ref_=adv_li_i	Japan		21859516.74	13 wins & 6 nominations.	13	6	2h 14min	8.00	-19479516.74	Animation	 Adventure	 Fantasy
75	L.A. Confidential	1997	83	90	64620000	https://www.imdb.com/title/tt0119488/?ref_=adv_li_i	USA		35000000	Won 2 Oscars.	2	0	2h 18min	7.00	29620000.00	Crime	 Drama	 Mystery
536	As Good as It Gets	1997	77	67	148480000	https://www.imdb.com/title/tt0119822/?ref_=adv_li_i	USA		50000000	Won 2 Oscars.	2	0	2h 19min	10.00	98480000.00	Comedy	 Drama	 Romance
432	The Game	1997	78	61	48320000	https://www.imdb.com/title/tt0119174/?ref_=adv_li_i	USA		50000000	1 nomination.	0	1	2h 9min	17.00	-1680000.00	Drama	 Mystery	 Thriller
431	Gattaca	1997	78	64	12340000	https://www.imdb.com/title/tt0119177/?ref_=adv_li_i	USA		36000000	Nominated for 1 Oscar.	0	1	1h 46min	14.00	-23660000.00	Drama	 Sci-Fi	 Thriller
76	Good Will Hunting	1997	83	70	138430000	https://www.imdb.com/title/tt0119217/?ref_=adv_li_i	USA		10000000	Won 2 Oscars.	2	0	2h 6min	13.00	128430000.00	Drama	 Romance	
430	Titanic	1997	78	75	659330000	https://www.imdb.com/title/tt0120338/?ref_=adv_li_i	USA		200000000	Won 11 Oscars.	11	0	3h 14min	3.00	459330000.00	Drama	 Romance	
