Column1	title	year	rating	metascore	gross	hyperlink	country	Column2	budget	awards	award wins	award nominations	duration	rating-metascore	revenue	genre1	genre2	genre3
8	12 Angry Men	1957	89	96	4360000	https://www.imdb.com/title/tt0050083/?ref_=adv_li_i	USA		350000	Nominated for 3 Oscars.	0	3	1h 36min	7.00	4010000.00	Drama		
280	Touch of Evil	1958	80	99	2240000	https://www.imdb.com/title/tt0052311/?ref_=adv_li_i	USA		829000	6 wins & 1 nomination.	6	1	1h 35min	19.00	1411000.00	Crime	 Drama	 Film-Noir
89	Vertigo	1958	83	100	3200000	https://www.imdb.com/title/tt0052357/?ref_=adv_li_i	USA		2479000	Nominated for 2 Oscars.	0	2	2h 8min	17.00	721000.00	Mystery	 Romance	 Thriller
199	Ben-Hur	1959	81	90	74700000	https://www.imdb.com/title/tt0052618/?ref_=adv_li_i	USA		15900000	Won 11 Oscars.	11	0	3h 32min	9.00	58800000.00	Adventure	 Drama	 History
88	North by Northwest	1959	83	98	13280000	https://www.imdb.com/title/tt0053125/?ref_=adv_li_i	USA		3101000	Nominated for 3 Oscars.	0	3	2h 16min	15.00	10179000.00	Adventure	 Mystery	 Thriller
122	Some Like It Hot	1959	82	97	25000000	https://www.imdb.com/title/tt0053291/?ref_=adv_li_i	USA		2883848	Won 1 Oscar.	1	0	2h 1min	15.00	22116152.00	Comedy	 Romance	
357	Spartacus	1960	79	87	30000000	https://www.imdb.com/title/tt0054331/?ref_=adv_li_i	USA		12000000	Won 4 Oscars.	4	0	3h 17min	8.00	18000000.00	Adventure	 Biography	 Drama
46	Psycho	1960	85	97	32000000	https://www.imdb.com/title/tt0054215/?ref_=adv_li_i	USA		806947	Nominated for 4 Oscars.	0	4	1h 49min	12.00	31193053.00	Horror	 Mystery	 Thriller
469	The Magnificent Seven	1960	78	74	4910000	https://www.imdb.com/title/tt0054047/?ref_=adv_li_i	USA		2000000	Nominated for 1 Oscar.	0	1	2h 8min	4.00	2910000.00	Action	 Adventure	 Western
198	La Dolce Vita	1960	81	93	19520000	https://www.imdb.com/title/tt0053779/?ref_=adv_li_i	Italy		Unknown	Won 1 Oscar.	1	0	2h 54min	12.00		Comedy	 Drama	
671	West Side Story	1961	76	86	43660000	https://www.imdb.com/title/tt0055614/?ref_=adv_li_i	USA		6000000	Won 10 Oscars.	10	0	2h 33min	10.00	37660000.00	Crime	 Drama	 Musical
87	Lawrence of Arabia	1962	83	100	44820000	https://www.imdb.com/title/tt0056172/?ref_=adv_li_i	UK		15000000	Won 7 Oscars.	7	0	3h 36min	17.00	29820000.00	Adventure	 Biography	 Drama
121	The Great Escape	1963	82	87	12100000	https://www.imdb.com/title/tt0057115/?ref_=adv_li_i	USA		4000000	Nominated for 1 Oscar.	0	1	2h 52min	5.00	8100000.00	Adventure	 Drama	 History
567	The Birds	1963	77	87	11400000	https://www.imdb.com/title/tt0056869/?ref_=adv_li_i	USA		2500000	Nominated for 1 Oscar.	0	1	1h 59min	10.00	8900000.00	Drama	 Horror	 Mystery
